Plot (r=??),Species,DBH (cm),Height (m),Notes
CD4,TAXASC,30.9,23.4,
CD4,TAXASC,11.9,12.9,DEAD
CD4,TAXASC,27.3,19.5,
CD4,TAXASC,23.5,16.9,
CD4,TAXASC,29.1,23.5,
CD4,TAXASC,19.0,11.1,DEAD
CD4,TAXASC,20.6,15.3,
CD4,TAXASC,20.6*,18.2,
CD4,TAXASC,19.0,7.2,DEAD
CD4,TAXASC,26.1,14.0,
CD4,TAXASC,19.1,15.6,
CD4,TAXASC,12.1,2.5,DEAD
CD4,TAXASC,23.1,15.5,
CD4,TAXASC,23.4,17.5,
CD4,TAXASC,22.6,17.8,
CD4,TAXASC,17.7,14.3,
CD4,TAXASC,21.8,14.3,
CD4,TAXASC,18.0,11.5,
CD4,TAXASC,15.8,9.5,
CD4,TAXASC,25.0,18.2,
CD4,TAXASC,29.2,18.0,
CD4,TAXASC,27.3,16.5,DEAD
CD4,TAXASC,16.0,12.6,
CD4,TAXASC,18.7,12.7,
CD4,TAXASC,10.3,6.0,DEAD
CD4,TAXASC,22.3,12.7,
CD4,TAXASC,22.6,17.2,
CD4,TAXASC,31.0,20.5,
CD4,TAXASC,30.4,21.0,
CD4,TAXASC,26.5,19.4,
CD4,TAXASC,28.5,20.1,
CD4,TAXASC,24.6,20.2,
CD4,TAXASC,23.4,16.7,
CD4,TAXASC,19.3,16.5,
CD4,TAXASC,27.9,22.3,
CD4,TAXASC,31.9,20.8,
CD4,TAXASC,15.3,21.6,
CD4,TAXASC,24.9,10.2,
CD4,TAXASC,14.2,19.6,
CD4,TAXASC,18.9,19.8,
CD4,TAXASC,23.5,12.5,
CD4,TAXASC,29.6,22.9,
CD4,TAXASC,14.2,9.8,
CD4,TAXASC,24.6,21.1,
CD4,TAXASC,27.0,22.6,
CD4,TAXASC,33.6,21.9,
CD4,TAXASC,29.0,22.4,
CD5,TAXASC,23.6,18.4,
CD5,TAXASC,28.4,22.3,
CD5,TAXASC,36.1,22.3*,
CD5,TAXASC,25.4,15.8,"DEAD, TOXRAD"
CD5,TAXASC,26.3,20.2,
CD5,TAXASC,5.2,5.4,
CD5,TAXASC,3.0,2.3,DENPOR
CD5,TAXASC,14.6,11.4,
CD5,TAXASC,5.3,5.3,
CD5,TAXASC,3.8,5.2,
CD5,TAXASC,9.5,10.5,Split
CD5,TAXASC,2.5,3.4,Split
CD5,TAXASC,11.3,9.3,
CD5,TAXASC,13.9,11.3,
CD5,TAXASC,3.7,3.5,
CD5,TAXASC,22.9,13.5,
CD5,TAXASC,7.0,6.1,
CD5,TAXASC,10.7,11.5,
CD5,TAXASC,3.4,4.9,
CD5,TAXASC,2.6,3.3,
CD5,TAXASC,4.9,5.7,
CD5,TAXASC,5.5,6.8,
CD5,TAXASC,3.8,4.8,
CD5,TAXASC,6.3,5.9,
CD5,TAXASC,8.9,9.0,
CD5,TAXASC,6.1,7.1,
CD5,TAXASC,19.7,13.3,
CD5,TAXASC,14.9,13.4,
CD5,TAXASC,3.0,2.6,
CD5,TAXASC,4.2,4.8,
CD5,TAXASC,17.1,12.3,
CD5,TAXASC,3.2,3.7,
CD5,TAXASC,21.8,13.1,
CD5,TAXASC,13.5,11.9,
CD5,TAXASC,25.2,15.7,
CD5,TAXASC,18.5,13.5,
CD5,TAXASC,10.7,10.1,
CD5,TAXASC,13.9,10.6,
CD5,TAXASC,8.9,9.0,
CD5,TAXASC,19.2,10.3,
CD5,TAXASC,22.6,14.7,
CD5,TAXASC,7.8,8.6,
CD5,TAXASC,5.7,8.2,
CD5,TAXASC,7.2,6.2,
CD5,TAXASC,2.5,3.2,
CD5,TAXASC,7.2,6.5,
CD5,TAXASC,5.9,7.4,
CD5,TAXASC,5.8,6.0,
CD5,TAXASC,8.6,7.7,Split
CD5,TAXASC,9.9,8.6,Split
CD5,TAXASC,3.5,4.0,
CD5,TAXASC,7.8,7.3,
CD5,TAXASC,9.8,8.5,
CD5,TAXASC,7.3,6.3,Split
CD5,TAXASC,7.4,6.7,Split
CD5,TAXASC,11.2,7.7,
CD5,TAXASC,6.0,6.4,
CD5,TAXASC,3.5,4.2,
CD5,TAXASC,9.6,9.1,
CD5,TAXASC,13.3,9.1,
CD5,TAXASC,10.4,9.2,
CD5,TAXASC,15.0,11.1,
CD5,TAXASC,6.0,6.8,
CD5,TAXASC,8.4,8.5,
CD5,TAXASC,4.0,4.4,
CD5,TAXASC,12.9,10.1,
CD5,TAXASC,6.8,5.5,
CD5,TAXASC,12.3,8.8,
CD5,TAXASC,10.8,8.3,
CD5,TAXASC,9.2,8.7,
CD5,TAXASC,3.8,4.3,
CD5,TAXASC,4.9,4.6,
CD5,TAXASC,6.7,8.0,
CD5,TAXASC,17.2,9.6,
CD5,TAXASC,9.3,9.3*,
CD5,TAXASC,13.0,8.6,
CD5,TAXASC,11.9,8.4,
CD5,TAXASC,7.9,8.0,
CD5,TAXASC,6.6,8.3,
CD5,TAXASC,9.3,8.4,
CD5,TAXASC,7.8,6.5,Split
CD5,TAXASC,3.2,3.7,Split
CD5,TAXASC,11.5,7.6,Split
CD5,TAXASC,5.7,4.6,Split
CD5,TAXASC,6.4,4.8,Split
CD5,TAXASC,12.5,10.0,
CD5,TAXASC,7.2,5.3,
CD5,TAXASC,7.0,8.8,
CD5,TAXASC,3.0,2.8,Split
CD5,TAXASC,10.5,8.9,Split
CD5,TAXASC,6.5,6.6,
CD5,TAXASC,9.5,11.2,
CD5,TAXASC,14.1,9.3,
CD5,TAXASC,4.6,4.6*,
CD5,TAXASC,3.1,3.2,
CD5,TAXASC,4.2,4.3,
CD5,TAXASC,8.2,7.0,
CD5,TAXASC,16.5,10.1,
CD5,TAXASC,6.0,8.3,
CD5,TAXASC,7.0,3.9,
CD5,TAXASC,19.2,12.1,
CD5,TAXASC,7.0,7.8,
CD5,TAXASC,6.7,6.9,
CD5,TAXASC,4.0,6.7,
CD5,TAXASC,5.2,7.3,
CD5,TAXASC,3.5,5.2,
CD5,TAXASC,12.6,10.1,
CD5,TAXASC,6.8,8.5,
CD5,TAXASC,6.3,7.0,
CD5,TAXASC,8.5,8.5,
CD5,TAXASC,11.1,8.7,
CD5,TAXASC,4.5,8.5,
CD5,TAXASC,14.7,9.6,
CD5,TAXASC,10.9,9.9,
CD5,TAXASC,8.8,7.3,
CD5,TAXASC,8.2,9.4,
CD5,TAXASC,6.5,7.5,
CD5,TAXASC,6.0,7.5,
CD5,TAXASC,4.9,6.4,
CD5,TAXASC,19.5,11.7,
CD6,,,,
CD7,,,,
CD8,,,,
CD9,,,,
CD10,,,,
MF1,NA,10.4,9.0,DEAD
MF1,NA,18.2,12.3,DEAD
MF2,NA,NA,NA,
MF3,QUEGEM,11.9,4.4,SPLIT
MF3,QUEGEM,4.7,4.2,SPLIT
MF4,NA,NA,NA,
MF5,NA,NA,NA,
MF6,NA,NA,NA,NA
MF7,PINPAL,7.0,5.6,
MF7,PINPAL,14.4,9.7,
MF7,PINPAL,9.7,9.5,
MF7,PINPAL,5.1,4.1,
MF7,PINPAL,12.6,9.9,
MF7,PINPAL,27.1,13.5,
MF7,PINPAL,13.4,10.6,
MF7,PINPAL,14,9.6,
MF7,PINPAL,4.2,9.4,
MF7,PINPAL,11.3,8.8,
MF7,PINPAL,13.1,8.6,
MF7,PINPAL,29.6,14.8,
MF7,PINPAL,14,10.1,
MF8,PINPAL,24.6,11.8,
MF8,PINPAL,26.6,11.7,
MF8,QUEVIR,14.5,4,
MF8,QUEVIR,12.4,6.8,
MF8,PINPAL,11.3,7.2,
MF8,PINPAL,15.4,10,
MF8,PINPAL,33.5,14.2,
MF9,NA,NA,NA,
MF10,NA,NA,NA,
MF11,PINPAL,4.5,1.7,
MF11,PINPAL,28.8,13.3,
MF11,SABPAL,13.6,1.5,
MF12,NA,NA,NA,
MF13,NA,NA,NA,
MF14,NA,NA,NA,
MF15,NA,NA,NA,
MF16,PINPAL,32.1,14.1,
MF16,PINPAL,29.5,14.1*,
MF16,PINPAL,26.1,13.9,
MF16,PINPAL,29.4,14.9,
MF17,PINPAL,7,4.1,
MF17,PINPAL,8.2,3.6,
MF17,PINPAL,6.1,3.8,
MF17,PINPAL,14.1,11.9,
MF17,PINPAL,8.8,5.1,
MF17,PINPAL,8.9,6.1,
MF17,PINPAL,8.1,6.1,
MF17,PINPAL,43.9,16.3,SMIAUR
MF17,PINPAL,20.8,16.3,
MF17,PINPAL,5.3,2.7,
MF17,PINPAL,14.7,10.5,
MF17,PINPAL,10.8,9.1,
MF17,PINPAL,11.0,8.9,
MF17,PINPAL,6.4,6.3,
MF17,PINPAL,4.3,1.5,
MF18,PINPAL,21,12.3,
MF18,PINPAL,17,12.4,
MF18,PINPAL,10.3,7.3,
MF18,PINPAL,24,12.5,
MF18,PINPAL,32.7,11.9,
MF18,PINPAL,24.9,12.4,
MF18,PINPAL,20.8,13.1,
MF18,PINPAL,27.8,12.4,
MF18,PINPAL,7.5,7.1,
MF18,PINPAL,24.3,13.1,
MF18,PINPAL,21.1,13.2,
MF18,PINPAL,10.2,7.3,
MF19,PINPAL,15.9,9.9,
MF19,PINPAL,10.7,6.2,
MF19,PINPAL,12.4,7.3,
MF20,QUELMYR,2.6,2.5,
MF20,QUELMYR,2.7,2.6,
MF20,QUELMYR,2.8,3.1,
MF20,QUELMYR,2.6,3.2,
MF20,QUELMYR,4,4.3,
MF20,QUELMYR,2.7,3.4,
MF20,QUELMYR,3.4,4,
MF20,QUEGEM,5.1,3,
MF20,QUEGEM,5,3.3,
MF20,QUEGEM,3,2.6,
MF20,PINPAL,20.2,12.3,
DP1,NA,NA,NA,
DP2,NA,NA,NA,
DP3,NA,NA,NA,
DP4,,,,
DP5,,,,
WP1,,,,
WP2,,,,
WP3,,,,
WP4,,,,
WP5,,,,
WP6,,,,
WP7,,,,
WP8,,,,
WP9,,,,
WP10,,,,
WP11,,,,
WP12,,,,
WP13,,,,
WP14,,,,
WP15,,,,
WP16,,,,
WP17,,,,
WP18,,,,
WP19,,,,
WP20,,,,
SF1,QUECHA,6.2,3.3,TILREC
SF1,QUEHEM,8.1,4.2,TILREC
SF1,QUECHA,7,3.3,TILREC
SF1,LYOFER,4,3.3,TILREC
SF1,QUECHA,3.9,3,
SF1,QUEGEM,3,2,
SF1,LYOFRU,3.2,5,
SF1,QUEGEM,4.2,2.7,
SF1,QUECHA,3.2,3,
SF1,QUECHA ,3.1,3.4,"FORKED, TILREC"
SF1,QUEGEM,9.7,4.3,
SF1,QUEGEM,2.8,2,"TILREC,"
SF1,QUEGEM,"9.6, 5.9",5.2,TILREC
SF1,QUECHA,3.2,3,
SF1,LYOFRU,3.5,5,
SF1,LYOFRU,3.1,5,
SF1,QUEGEM,"5.7, 4.3",5,"FORKED, TILREC"
SF1,QUEGEM,"6.2, 4.9, 6.5",4.8,"FORKED, TILREC, TILUSN"
SF1,QUECHA,3.4,4.2,
SF1,QUECHA,3.2,3.2,
SF1,LYOFER,2.7,5.1,
SF1,QUECHA,2.8,3.3,
SF1,LYOFER,2.6,3,
SF1,QUEGEM,"2.5, 2.6, ",3.2,FORKED
SF1,QUECHA,4.6,5.1,
SF1,QUEHEM,3.5,3.2,
SF1,QUEHEM,4.5,4.9,TILREC
SF1,LYOFER,3.7,4.7,TILREC
SF1,QUECHA,5.1,2.1,TILREC
SF1,QUEGEM,7.1,4.2,"TILREC, TILUSN"
SF1,QUEGEM,6.2,2.5,TILREC
SF1,QUEHEM,5,4,
SF1,QUEGEM,4.1,4.1,TILREC
SF1,QUEGEM,5,4.2,TILREC
SF1,QUEGEM,5.1,4.2,TILREC
SF1,QUECHA,3.3,3,
SF1,QUEGEM,"4.3, 3.4",3.3,"FORKED, TILREC, TILUSN"
SF1,QUEGEM,"6.2, 7.1",4.4,"FORKED, TILREC, TILUSN"
SF1,QUEGEM,9.4,5.2,TILREC
SF1,QUEMYR,2.7,2.5,
SF1,QUEGEM,"5.0, 6.5",4.1,TILREC
SF1,QUEGEM,"3.9, 4.0, 2.6",3.8,"FORKED, TILREC"
SF1,LYOFER,"2.6, 3.5",3.5,"FORKED, "
SF1,QUEGEM,5.5,5.1,
SF1,LYOFER,2.7,2.3,
SF1,QUECHA,5,4.2,TILREC
SF1,LYOFER,"5.3, 3.6",4,"FORKED, TILREC"
SF1,QUEGEM,3.4,3.2,TILREC
SF1,LYOFER,3.2,3.8,
SF1,LYOFER,5.5,2,
SF1,LYOFER,"4.8, 4.9",5.8,FORKED
SF1,LYOFER,8.5,5.2,TILREC
SF1,LYOFER,5.4,4.3,
SF1,LYOFER,"8.3, 4.8",4.5,"FORKED, TILREC"
SF1,QUEGEM,"7.5, 7.1",4.2,"FORKED, TILUSN, TILREC"
SF1,QUEGEM,8.3,4.4,TILREC
SF1,LYOFER,3.3,3,
SF1,LYOFER,3.7,3.2,
SF1,LYOFER,3.7,1.7,
SF1,QUEGEM,"3.7, 3.6, 3.0",2,"FORKED, TILREC"
SF1,QUEGEM,3.5,2.5,
SF1,QUECHA,5,4.7,TILREC
SF1,LYOFER,3.2,5,
SF1,QUEGEM,3.5,2.1,
SF1,LYOFER,8.9,4,
SF1,QUEGEM,11.1,5.2,"TILREC, TILUSN"
SF1,LYOFER,3.5,3,FORKED AT BASE
SF1,QUEGEM,"6.2, 8, 5, 3.9",5.3,"FORKED, TILREC, TILUSN"
SF1,QUEGEM,2.9,2.2,"FORKED, TILREC"
SF1,QUEGEM,4.2,3.4,TILREC
SF1,QUEGEM,4.7,4.3,TILREC
SF1,QUECHA,4,3.2,TILREC
SF1,QUEGEM,3.8,2.5,TILREC
SF1,QUECHA,3.4,3,"TILREC, FORKED "
SF1,QUEGEM,3.5,1.8,"TILREC, FORKED "
SF1,QUEGEM,3.8,2.4,TILREC
SF1,QUECHA,"3.3, 2.9",2.8,"FORKED, TILREC"
SF1,QUECHA,3.1,2,TILSET
SF1,QUECHA,2.6,2.3,
SF1,QUEMYR,4,3.7,
SF1,QUEMYR,2.9,3.4,TILREC
SF1,QUECHA,2.9,3.8,TILREC
SF1,DEAD UN,3.8,1.5,TILREC
SF2,QUEMYR,2.9,2.7,
SF2,QUEMYR,3,3.8,
SF2,PINCLA,3,3,
SF2,QUEMYR,3.5,3.8,
SF2,QUEMYR,3.5,4,
SF2,QUEMYR,2.9,3.5,
SF2,LYOFRU,3,4.2,
SF2,QUEMYR,3.5,3.6,
SF2,PINPAL,20.4,12.3,"TILUSN, TILREC"
SF2,QUEMYR,4.7,3.8,TILREC
SF2,QUEMYR,"4.7, 7.8",4.2,"FORKED, TILREC"
SF2,QUEMYR,2.6,2.7,
SF2,QUEMYR,3.8,2.6,
SF2,QUEMYR,5.3,2.7,TILREC
SF2,QUEMYR,4,2.7,TILREC
SF2,PINPAL,6.4,4.1,
SF2,PINCLA,7.2,5.3,
SF2,PINPAL,28.3,12.7,
SF2,QUECHA,7,7.2,TILREC
SF2,PINPAL,6,5,
SF2,PINPAL,28.3,11.7,
SF2,QUEGEM,3.7,2.4,TILREC
SF2,QUEGEM,7.1,2.4,"TILREC, TILUSN"
SF2,QUEGEM,5.8,2.4,"TILREC, TILUSN"
SF2,QUEMYR,4.7,2.2,
SF2,PINCLA,9,6,
SF2,PINCLA,16.7,5,
SF3,QUECHA,2.7,2,
SF3,LYOFUR,4,4.7,
SF3,PINCLA,21.4,11.3,
SF3,LYOFER,"5.0, 4.5",4.7,Forked
SF3,LYOFER,"4.9, 3.2, 4.0",2.5,
SF3,LYOFER,2.9,3,"DEAD, forked"
SF3,LYOFER,3.7,3,FORKED
SF3,LYOFER,"5.1, 3.8",2.4,FORKED
SF3,PINCLA,18.1,11.2,
SF3,PINCLA,14.3,11.4,
SF3,PINCLA,24.5,11.3,TILREC
SF3,PINCLA,11,10.4,"TILREC, TILUSN"
SF3,PINCLA,22,11.3,TILREC
SF3,PINCLA,15.2,11.3,
SF3,PINCLA,14.5,11.3,
SF3,LYOFER,3.1,3.2,FORKED
SF3,LYOFER,"3.3, 3.7",3.2*,"FORKED, TILREC"
SF3,LYOFER,"2.7, 2.5, 3.6",4.5,"FORKED, TILREC"
SF3,LYOFER,"3.0, 3.8",3,FORKED
SF3,LYOFER,3.3,5,
SF3,LYOFER,3.1,4.5,
SF3,LYOFER,4.8,7.5,
SF3,LYOFER,"4.3, 5.0",6.9,"FORKED, TILREC"
SF3,LYOFER,2.6,4.8,TILREC
SF3,LYOFER,3.7,7.4,
SF3,PINCLA,13,11.4,
SF3,LYOFER,2.9,2.3,
SF3,LYOFER,4.2,7.2,
SF3,PINCLA,21.2,10,DEAD
SF3,LYOFER,3.8,3,
SF3,PINCLA,5.5,6.5,
SF3,LYOFER,3,3.2,
SF3,PINCLA,20.1,11.3,TILREC
SF3,PINCLA,16.3,10,dead
SF3,PINCLA,15,11.3,
SF3,LYOFER,"2.6, 3.8, 3.7",6.2,FORKED
SF3,PINCLA,8,7.6,
SF3,PINCLA,6.7,7.4,
SF3,LYOFER,5.1,4.3,TILREC
SF3,LYOFER,5,4.2,TILREC  
SF3,PINCLA,20,11.7,
SF3,PINCLA,24.7,11.4,"TILREC, TILSET, SMILAX, TILUSN"
SF3,LYOFER,"3.7, 5.2",3.8,FORKED at base
SF3,PINCLA,12.4,9.5,TILREC
SF3,PINCLA,11.2,9.2,
SF3,LYOFER,"5.0, 4.0",4.5,"FORKED, TILREC"
SF3,LYOFER,3.6,3.8,
SF3,LYOFER,"4.2, 2.5",2.5,FORKED
SF3,LYOFER,2.7,2,DEAD
SF3,LYOFER,3.7,7.8,
SF3,LYOFER,3.4,2.7,
SF3,LYOFER,3.3,4,
SF3,LYOFER,3.2,2.5,
SF3,LYOFER,"2.9, 4.7",3.4,"FORKED, TILREC"
SF3,PINCLA,9.3,8,
SF3,LYOFER,2.9,5,
SF3,LYOFER,2.6,4.7,
SF3,QUEGEM,4.7,2.4,
SF3,QUEGEM,3.1,1.4,
SF3,QUEGEM,6.1,2.5,
SF3,QUEGEM,3.8,3,
SF3,PINCLA,24,12,TILREC
SF3,QURCHA,3.5,3.2,
SF3,PINPAL,10,9.5,
SF3,LYOFER,2.6,4.2,FORKED
SF3,LYOFER,"3.0, 4.0, 4.0, 6.0",5.8,"FORKED at base, TILREC"
SF4,QUEGEM,9.9,8.7,"TILREC, TILSET, TILUSN"
SF4,QUEHEM,13.5,8.7*,"TILREC, TILSET, TILUSN"
SF4,QUEHEM,4.0,3.5,"TILREC, TILSET, TILUSN, PLEMIC"
SF4,QUEHEM,5.5,5.2,
SF4,QUEGEM,13.7,9.2,
SF4,QUEGEM,8.0,7.8,"TILUSN, PLEMIC"
SF4,QUEHEM,3.4,2.0,"TILREC, PLEMIC"
SF4,QUEGEM,3.5,5.4,"TILREC, TILUSN"
SF4,QUEHEM,4.0,5.0,"TILUSN, TILSET"
SF4,QUEMYR,5.5,4.3,"TILREC, TILUSN, TILSET"
SF4,QUEGEM,3.0,6.0,
SF4,QUEHEM,7.9,7.0,"PLEMIC, TILREC, USN"
SF4,QUEHEM,3.4,2.7,"TILREC, TILSET"
SF4,QUEHEM,5.8,5.8,"TILREC, TILUSN"
SF4,QUEGEM,9.4,7.3,TILREC
SF4,QUEGEM,13.3,10.0,"TILREC, TILUSN"
SF4,QUEHEM,4.9,5.8,"TILSET, TILUSN, TILREC"
SF4,QUEHEM,7.1,7.1,"TILSET, TIUSN, PLEMIC"
SF4,QUEGEM,11.9,8.9,"TILUSN, TILSET, TILREC"
SF4,QUEGEM,8.8,6.8,"TILREC, TILUSN"
SF4,QUECHA,3.5,2.4,"TILREC, PLEMIC"
SF4,QUEHGEM,12.7,6.9,"TILUSN, TILSET, TILREC"
SF4,QUEGEM,9.4,7.5,"TILSET, TILREC, TILUSN, "
SF4,QUECHA,"3.4, 3.5",2.4,FORKED
SF4,QUECHA,7.5,7.4,"PLEMIC, TILREC, TILUSN, TILSET"
SF4,QUEHEM,8.7,1.9,PLEMIC
SF4,QUEHEM,6.2,4.7,"TILREC, TILSET"
SF4,QUECHA,8.7,6.8,"TILREC, TILSET, TILUSN"
SF4,QUECHA,7.2,6.8*,"TILREC, TILUSN"
SF4,QUECHA,2.8,3.0,
SF4,QUEHEM,3.5,2.8,TILREC
SF4,QUECHA,"4.8, 4.5",3.2,"FORKED, TILREC"
SF4,QUECHA,6.9,6.8,TILREC
SF4,QUEHEM,7.6,6.4,"TILSET, TILREC"
SF4,QUECHA,3.0,2.2,"TILUSN, TILREC"
SF4,QUECHA,8.2,6.7,"TILREC, TILUSN"
SF4,QUECHA,5.3,6.3,TILREC
SF4,QUECHA,8.2,7.0,"TILREC, TILUSN"
SF4,QUECHA,6.5,7.3,"TILREC, TILUSN, "
SF4,QUECHA,4.4,6.8,"TILREC, TILSET"
SF4,QUECHA,8.9,8.0,TILREC
SF4,QUECHA,6.6,7.2,
SF4,QUECHA,2.7,2.7,TILREC
SF4,QUECHA,3.8,3.0,"TILSET, TILREC"
SF4,QUECHA,6.5,7.0,"TILREC, TILUSN"
SF4,QUECHA,3.2,3.0,"TILREC,  "
SF4,QUECHA,5.3,5.7,"TILUSN, TILREC"
SF4,QUECHA,5.2,4.3,"TILUSN, TILREC"
SF4,QUECHA,5.0,3.3,"TILUSN,"
SF4,QUECHA,4.3,3.7,TILREC
SF4,DEAD UN,2.8,2.0,TILREC
SF4,QUECHA,5.3,3.4,"FORKED, TILREC"
SF4,QUECHA,2.6,3.0,TILREC
SF4,QUECHA,2.5,2.3,TILREC
SF4,LYOFRU,3.7,5.2,"FORKED, TILREC"
SF4,LYOFRU,3.2,3.4,"FORKED, TILREC"
SF4,QUECHA,4.5,8.0,"TILREC, TILUSN, TILSET"
SF4,LYOFRU,4.2,6.7,FORKED
SF4,QUEMYR,3.2,3.0,"TILUSN, TILREC"
SF4,QUECHA,"5.1, 2.7",6.6,"FORKED, TILUSN, TILREC"
SF4,QUEMYR,3.4,4.1,FORKED
SF4,QUEGEM,"6.1, 4, 5.3",5.6,"FORKED, TILREC, TILUSN"
SF4,LYOFRU,2.5,4.0,FORKED
SF4,LYOFRU,"3.2, 3.2, 2.5",4.7,FORKED AT BASE
SF4,LYOFRU,3.4,4.2,FORKED
SF4,LYOFRU,2.8,3.6,"DIEING, SMILAX"
SF4,LYOFRU,5.1,4.0,"FORKED, SMILAX, TILREC"
SF4,QUEMYR,2.8,5.0,
SF4,QUEGEM,9.5,9.3,"TILUSN, TILREC"
SF4,QUEGEM,3.4,3.4,"TIKREC,TILUSN, TILSET"
SF4,QUECHA,5.0,4.8,TILREC
SF4,QUECHA,2.8,5.0,TILREC
SF4,QUEMYR,4.2,4.7,"TILREC, TILUSN"
SF4,QUEGEM,4.9,4.5,"TILREC,SMILAX"
SF4,QUEGEM,10.2,6.8,"TILUSN,TILREC, TILSET"
SF4,QUEGEM,9.5,5.3,"TILREC, TILSET"
SF4,QUEGEM,9.9,5.3,
SF4,QHUGEM,"7.4, 3.4",6.4,"FORKED,  TILSET, TILREC,  TILUSN"
SF4,QUEHEM,"4.3, 2.6",3.4,"FORKED,  TILSET, TILREC"
SF4,QUEHEM,2.9,3.4,SMILAX
SF4,QUEGEM,9.5,6.0,"TILREC, TILUSN, TILUSN"
SF4,QUEHEM,2.7,2.0,"PLEMIC, TILUSN, TILREC, TILSET"
SF4,QUEHEM,5.4,3.4,"PLEMIC, TILUSN, TILREC, TILSET"
SF5,QUE UN1,11.5,6.3,"TILUSN, TILREC, "
SF5,PINCLA,2.5,2.9,
SF5,LYOLUC,2.8,2.6,FORKED
SF5,LYOFER,5.0,5.7,TILSET
SF5,QUEMYR,10.4,5.9,"TILREC, TILUSN, TILSET"
SF5,QUEMYR,7.3,6.3,"TILREC, TILUSN"
SF5,QUEMYR,7.8,6.1,"TILREC, TILUSN"
SF5,QUEMYR,14.0,7.2,TILREC
SF5,QUEMYR,18.0,8.3,"TILSET, TILREC, TILUSN"
SF5,QUEMYR,10.0,6.8,"TILREC, "
SF5,QUEMYR,9.5,7.3,"TILSET, TILREC, TILUSN"
SF5,QUEMYR,10.0,8.4,"TILSET, TILREC, TILUSN"
SF5,QUEMYR,2.5,3.2,
SF5,QUEMYR,3.2,3.0,
SF5,QUEMYR,2.9,3.1,
SF5,QUEMYR,2.7,3.3,
SF5,QUEMYR,2.9,3.2,
SF5,QUEGEM,2.5,3.9,
SF5,NA,7.0,2.0,DEAD
SF5,QUEMYR,"3, 5.3, 3.7",4.3,FORKED
SF5,QUEMYR,4.7,4.2,
SF5,QUEGEM,5.7,3.9,
SF5,QUECHA,"4.5, 10.3",4.9,"FORKED, TILREC, TILUSN"
SF5,QUECHA,8.7,5.0,TILUSN
SF5,PINCLA,5.5,7.0,TILUSN
SF5,PINCLA,11.7,10.1,
SF6,QUEMYR,3.3,4.0,
SF6,QUEMYR,2.6,3.8,
SF6,QUEGEM,5.0,4.2,
SF6,QUEMYR,3.3,1.8,
SF6,QUEMYR,2.5,2.5,
SF6,QUEMYR,4.2,4.2,
SF6,QUEGEM,2.9,2.3,
SF6,QUEGEM,2.8,2.0,
SF6,LYOFRU,3.9,3.7,
SF6,LYOFRU,2.7,3.7*,
SF6,QUEMYR,3.5,4.0,
SF6,QUEMYR,2.9,3.8,
SF6,QUEGEM,3.1,2.7,
SF6,QUEGEM,4.1,4.2,
SF6,QUEGEM,6.5,4.3,
SF6,QUEGEM,5.2,4.3*,
SF6,QUEGEM,"3.9, 3.6",4.3,
SF6,QUEGEM,"2.9, 2.7","2.1, 1.8",
SF6,QUEGEM,2.8,2.2,
SF6,QUEMYR,2.5,2.1,
SF6,QUEGEM,3.6,4.0,
SF6,QUEMYR,3.0,3.8,
SF6,QUECHA,2.7,3.1,
SF6,QUEGEM,2.9,2.3,
SF6,QUECHA,2.8,2.7,
SF6,QUECHA,2.8*,2.5,
SF6,QUEGEM,2.8,3.1,
SF6,QUECHA,3.6,4.3,
SF6,QUEGEM,2.5,2.3,
SF6,QUECHA,2.5,2.4,
SF6,QUEGEM,3.2,3.6,
SF6,QUEGEM,3.4,2.4,
SF6,QUEGEM,2.8,2.6,
SF6,QUEGEM,3.9,2.9,
SF6,LYOFRU,2.7,4.3,
SF6,QUEGEM,3.6,4.4,
SF6,QUEGEM,2.6,3.1,
SF6,UNKNOWN ,5.0,1.8,DEAD
SF6,QUEGEM,4.4,2.9,TILSET
SF6,QUEGEM,18.8,4.5,TILSET
SF6,QUEGEM,3.4,4.3,
SF6,QUEGEM,4.8,4.4,
SF6,QUEGEM,4.4,4.3,
SF6,UNKNOWN ,5.0,1.4,DEAD
SF6,QUEGEM,4.8,3.9,
SF6,UNKNOWN ,11.9,3.8,DEAD
SF6,QUEGEM,3.6,3.7,
SF6,QUEGEM,3.8,4.0,
SF6,QUEGEM,"2.5, 4.2","2.7, 4.1",
SF6,QUEGEM,2.6,2.8,
SF6,QUEGEM,2.9,3.4,
SF6,QUEGEM,"3.0, 4.4","3.6, 3.9",
SF6,QUEMYR,2.8,4.0,
SF6,QUEGEM,3.2,3.8,
SF6,QUEGEM,3.6,3.8,
SF6,QUEMYR,3.6*,4.2,
SF6,QUEGEM,2.9,3.9,
SF6,QUEGEM,2.6,2.4,
SF6,UNKNOWN ,9.1,2.8,DEAD
SF6,QUEMYR,2.9,3.7,
SF6,LYOFER,2.6,3.9,
SF6,QUEGEM,"5.7, 4.3, 2.9","4.4, 4.2, 3.7",
SF6,QUEGEM,3.5,3.5,TILREC
SF6,QUEMYR,2.5,3.0,
SF6,QUEGEM,"4.6, 5.3, 14.3","4.1, 4.4, 4.2",
SF6,QUEGEM,2.6,2.4,
SF6,QUEGEM,9.7,3.7,
SF6,QUEGEM,2.5,3.0,Dead base
SF6,QUEGEM,3.8,3 4,
SF6,QUEGEM,4.1,3 4,
SF6,QUEGEM,2.5,2.3,
SF6,QUEGEM,3.1,3.5,
