Plot (r=??),Species,DBH (cm),Height (m),Notes
HY5,QURVIR,14.4,6.4,
HY5,SABPAL,27.6,6.0,
HY5,SABPAL,26.7,9.8,
HY5,SABPAL,27.8,9.7,
HY5,SABPAL,28.5,11.6,
HY5,SABPAL,24.0,11.0,
HY5,SABPAL,31.8,10.8,
HY5,SABPAL,25.5,11.2,
HY5,SABPAL,29.1,10.7,
HY5,SABPAL,29.2,10.1,
HY5,SABPAL,28.5,9.2,
HY5,SABPAL,32.0,20.3,
HY5,SABPAL,26.8,4.3,
HY5,SABPAL,20.5,8.9,
HY5,SABPAL,29.1,11.2,
HY5,SABPAL,23.2,5.7,
HY5,SABPAL,25.6,14.9,
HY5,SABPAL,30.5,12.4,
HY5,SABPAL,32.5,12.9,
HY5,QUELAU,42.0,18.4,
HY5,SABPAL,29.4,13.5,
HY5,SABPAL,24.6,5.4,TILREC
HY5,SABPAL,30.6,19.3,
HY5,SABPAL,29.2,11.5,
HY5,SABPAL,26.1,11.5*,
HY5,SABPAL,22.1,11.0,
HY5,SABPAL,30.7,10.1,
HY5,SABPAL,29.5,11.5,
HY5,SABPAL,28.7,14.3,
HY5,SABPAL,19.7,1.5,
HY6,SABPAL,30.7,10.4,TILUSN
HY6,QUEVIR,54.8,26.1,"TILSET, TILREC, TILUSN"
HY6,SABPAL,29.1,10.7,
HY6,QUEVIR,49.6,25.2,"TILSET, PLEMIC, TILUSN, TILBAL"
HY6,SABPAL,25,10.4,TILUSN
HY6,SABPAL,28,10.5,TILUSN
HY6,SABPAL,34.5,12.2,TILUSN
HY6,SABPAL,28.6,13.4,TILUSN
HY6,QUEVIR,101.5,26.3,TILUSN
HY6,SABPAL,42.5,2.7,
HY6,SABPAL,29,9.1,"TILUSN, TILSET"
HY6,SABPAL,39.1,5.3,TILUSN
HY6,SABPAL,31,11.7,"TILSET, TILREC"
HY6,SABPAL,27.8,11,"TILREC, TILUSN, PHLAUR"
HY6,SABPAL,52.3,2.7,
HY6,SABPAL,24.3,4.5,DEAD
HY6,SABPAL,45.2,1.5,
HY6,SABPAL,32,14.7,PHLAUR
HY6,SABPAL,27.1,9.9,
HY6,SABPAL,45.5,1.5,
HY6,SABPAL,49.5,2.8,
HY6,SABPAL,49.5*,1.4,
HY6,SABPAL,31.3,7.5,TILUSN
HY6,QUEVIR,69,25.4,"TILUSN, TILSET, PLEMIC, TILREC"
HY6,SABPAL,54.5,2.3,TILUSN
HY6,SABPAL,54.3,4.7,TILUSN
HY6,SABPAL,39.5,3.5,TILUSN
HY6,SABPAL,42.6,2.4,"TILUSN, TILSET"
HY6,SABPAL,39.7,5.6,"TILUSN, TILSET"
HY6,QUEVIR,55.3,12,"TILSET, PLEMIC, TILUSN, TILREC"
HY6,SABPAL,48.5,3.6,TILUSN
HY6,QUEVIR,78.3,25.2,"PARQUI, PLEMIC, TILSET, TILREC, TILBAL"
HY6,NA,18.6,4.1,ALMOST DEAD
HY7,SABPAL,30.4,11.3,
HY7,SABPAL,31.4,11.3,
HY7,SABPAL,24.3,7.7,
HY7,SABPAL,24.8,4.4,
HY7,SABPAL,33.0,1.9,
HY7,SABPAL,28.2,2.9,
HY7,QUEVIR,44.5,15.4,TILREC
HY7,PINELL,14.5,15.6,
HY7,SABPAL,27.6,5.3,
HY7,SABPAL,25.4,4.3,
HY7,PINELL,29.4,19.2,TILREC
HY7,SABPAL,32.5,9.5,
HY7,SABPAL,26.3,7.3,
HY7,PINELL,22.0,18.3,"TILREC, TILUSN"
HY7,PINELL,48.3,25.6,TILREC
HY7,SABPAL,34.0,2.3,
HY7,SABPAL,21.3,2.6,
HY7,QUEVIR,43.2,11.6,"TILSET, TILREC, TILUSN"
HY7,SABPAL,21.9,5.3,
HY7,SABPAL,35.0,10.7,
HY7,SABPAL,29.4,4.3,
HY7,SABPAL,30.5,8.9,
HY7,SABPAL,21.2,11.0,
HY7,SABPAL,31.1,5.3,
HY8,SABPAL,29.9,7.7,
HY8,SABPAL,35.5,3.1,
HY8,NA,12.5,10.3,DEAD
HY8,NA,18.5,8.5,DEAD
HY8,PINELL,27.9,7.1,DEAD
HY8,PINELL,17.0,13.7,TILUSN
HY8,SABPAL,19.7,1.4,
HY8,SABPAL,34.4,5.8,
HY8,SABPAL,33.8,8.3,
HY8,SABPAL,36.9,3.6,SMI sp.
HY8,SABPAL,39.5,3.0,
HY8,SABPAL,38.4,2.3,
HY8,SABPAL,21.8,1.4,
HY8,SABPAL,21.3,1.3,
HY8,SABPAL,15.1,1.3,
HY8,PINELL,6.5,6.7,SMI sp.
HY8,SABPAL,33.0,3.1,
HY8,SABPAL,27.8,1.7,
HY8,SABPAL,25.6,1.3,
HY8,SABPAL,31.8,1.9,
HY8,PINELL,14.1,10.3,
HY8,MORCER,2.6,2.2,
HY8,MORCER,2.6,2.2,
HY8,PINELL,33.8,28.8,
HY8,MORCER,2.6,2.5,
HY8,MORCER,2.6,2.3,
HY8,MORCER,2.6,2.2,
HY8,MORCER,2.6,2.3,
HY8,MORCER,2.6,2.2,
HY8,MORCER,2.6,2.4,
HY9,SERREP,6.3,1.7,
HY9,SERREP,4.7,2.0,
HY9,QUEVIR,63.1,20.1,"TILUSN, TILREC, TILSET, PLEMIC"
HY9,SERREP,4.5,1.7,
HY9,PINELL,5.7,13.3,Scortched
HY9,SERREP,4.5,2.0,
HY9,PINELL,13.3,11.6,
HY9,SERREP,6.5,2.5,
